Designator,Footprint,Quantity,Value,LCSC Part #
C2,0603,1,22uF,
"D1, D2",D_SOD-323_HandSoldering,2,D,
"D3, D4, D5, D6, D7, D8",D_SOD-323_HandSoldering,6,D_Small,
J1,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Conn_01x03,
J2,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,
L1,1210,1,4.7uH,
"LED1, LED2, LED3, LED4, LED5, LED6",LED_6028R,6,SK6812MINI-E,
Q1,SOT-23,1,AO3400A,
Q2,SOT-23,1,AO3401A,
"R1, R3",0805,2,806k,
R2,0805,1,2M,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_Cherry_MX_1.00u_PCB,6,SW_Push,
"TP1, TP2",TestPoint_Pad_2.0x2.0mm,2,TestPoint,
U1,XIAO-nRF52840-SMD,1,XIAO-nRF52840-SMD,
U2,SOT-23-5,1,TPS613222ADBV,
U3,SOT-353_SC-70-5,1,74LV1T08GW,
