Designator,Mid X,Mid Y,Rotation,Layer
C2,116.01875,-70.78625,270.0,top
D1,115.99875,-74.43625,90.0,top
D2,126.935,-66.9875,90.0,top
D3,144.525,-67.97,90.0,top
D4,201.675,-67.97,90.0,top
D5,163.575,-67.97,90.0,top
D6,220.725,-67.97,90.0,top
D7,182.625,-67.97,90.0,top
D8,239.775,-67.97,90.0,top
J1,113.15,-62.74,0.0,top
J2,121.98,-62.74,0.0,top
L1,122.71875,-72.10625,180.0,top
LED1,136.405,-74.13,180.0,bottom
LED2,155.455,-74.13,180.0,bottom
LED3,174.505,-74.13,180.0,bottom
LED4,193.555,-74.13,180.0,bottom
LED5,212.605,-74.13,180.0,bottom
LED6,231.655,-74.13,180.0,bottom
Q1,117.83125,-67.63625,180.0,top
Q2,121.45875,-68.41625,270.0,top
R1,127.025,-73.69,0.0,top
R2,127.025,-71.79,180.0,top
R3,124.105,-67.79,90.0,top
SW1,136.405,-66.96,0.0,top
SW2,155.455,-66.96,0.0,top
SW3,174.505,-66.96,0.0,top
SW4,193.555,-66.96,0.0,top
SW5,212.605,-66.96,0.0,top
SW6,231.655,-66.96,0.0,top
TP1,239.755,-61.07,0.0,bottom
TP2,239.755,-64.07,0.0,bottom
U1,118.6292,-69.0125,270.0,bottom
U2,118.44875,-71.39375,90.0,top
U3,123.795,-76.49,90.0,top
